"","exp","Tissue"
"GTEX-13FTY-0326-SM-5L3DN",3.4986,"Nerve - Tibial"
"GTEX-13X6K-0426-SM-5O9DZ",0.9529,"Nerve - Tibial"
"GTEX-ZDTS-0326-SM-5HL83",2.5427,"Nerve - Tibial"
"GTEX-12WSL-2826-SM-5LZWL",0.76,"Nerve - Tibial"
"GTEX-ZAB4-1826-SM-5HL8O",1.8487,"Nerve - Tibial"
"GTEX-144GL-0426-SM-5QGOZ",4.3961,"Nerve - Tibial"
"GTEX-11ZVC-2826-SM-5FQTC",2.8614,"Nerve - Tibial"
"GTEX-12WS9-0426-SM-59HJW",0.8432,"Nerve - Tibial"
"GTEX-13FHP-0326-SM-5K7U2",1.9692,"Nerve - Tibial"
"GTEX-11EQ9-2326-SM-5HL5H",1.8733,"Nerve - Tibial"
"GTEX-11TTK-0426-SM-5EQLT",2.6749,"Nerve - Tibial"
"GTEX-1314G-1826-SM-5LZVA",2.5505,"Nerve - Tibial"
"GTEX-11DXW-0426-SM-5H12E",3.641,"Nerve - Tibial"
"GTEX-Y9LG-2226-SM-4VDS9",0.7639,"Nerve - Tibial"
"GTEX-14BIL-0426-SM-5SIA3",2.042,"Nerve - Tibial"
"GTEX-ZYW4-0326-SM-5E44Y",1.7613,"Nerve - Tibial"
"GTEX-11P81-2626-SM-5GU6T",1.7528,"Nerve - Tibial"
"GTEX-11ZUS-1226-SM-5FQU8",2.8777,"Nerve - Tibial"
"GTEX-Y3IK-2726-SM-4WWDV",2.5638,"Nerve - Tibial"
"GTEX-13SLX-0126-SM-5S2MM",7.2392,"Nerve - Tibial"
"GTEX-14ASI-0326-SM-5S2VH",1.8424,"Nerve - Tibial"
"GTEX-YFC4-0826-SM-5CVM1",2.6455,"Nerve - Tibial"
"GTEX-14E6E-2226-SM-5SI6F",1.7744,"Nerve - Tibial"
"GTEX-12126-0626-SM-5Q5AQ",3.5619,"Nerve - Tibial"
"GTEX-YECK-0426-SM-4W1Z5",4.9307,"Nerve - Tibial"
"GTEX-13S7M-0426-SM-5S2US",2.1355,"Nerve - Tibial"
"GTEX-ZAKK-0526-SM-5EGHC",1.9099,"Nerve - Tibial"
"GTEX-ZT9X-2126-SM-57WEV",2.6755,"Nerve - Tibial"
"GTEX-11GSP-2826-SM-5A5LK",2.3368,"Nerve - Tibial"
"GTEX-11TT1-2626-SM-5EGL2",0.4559,"Nerve - Tibial"
"GTEX-YEC4-2526-SM-4W1Z2",0.9407,"Nerve - Tibial"
"GTEX-1399R-2426-SM-5IJFC",2.6794,"Nerve - Tibial"
"GTEX-ZVZO-0526-SM-5A5LB",4.2875,"Nerve - Tibial"
"GTEX-12696-2626-SM-5EQ44",0.878,"Nerve - Tibial"
"GTEX-ZGAY-0826-SM-4WWEP",2.1696,"Nerve - Tibial"
"GTEX-133LE-2126-SM-5IJBX",2.5993,"Nerve - Tibial"
"GTEX-PW2O-1826-SM-5SI7R",2.3899,"Nerve - Tibial"
"GTEX-139YR-2626-SM-5K7U4",1.239,"Nerve - Tibial"
"GTEX-145ME-2126-SM-5SIAH",2.3532,"Nerve - Tibial"
"GTEX-144GM-2126-SM-5LU3P",1.183,"Nerve - Tibial"
"GTEX-ZYT6-1426-SM-5E43U",4.1002,"Nerve - Tibial"
"GTEX-13O61-2626-SM-5KM4U",3.3749,"Nerve - Tibial"
"GTEX-13W46-0526-SM-5IJBD",1.819,"Nerve - Tibial"
"GTEX-13OW8-1526-SM-5K7V2",0.9984,"Nerve - Tibial"
"GTEX-13PVQ-0426-SM-5J1OG",0.9881,"Nerve - Tibial"
"GTEX-13OW7-0526-SM-5J1N2",3.0155,"Nerve - Tibial"
"GTEX-ZXG5-0426-SM-5GICT",1.0649,"Nerve - Tibial"
"GTEX-13JUV-2526-SM-5J1OD",6.164,"Nerve - Tibial"
"GTEX-13VXU-0426-SM-5LU3I",1.0362,"Nerve - Tibial"
"GTEX-11DXZ-2526-SM-5N9BG",2.7531,"Nerve - Tibial"
"GTEX-13G51-2826-SM-5LZWV",2.4883,"Nerve - Tibial"
"GTEX-13PL7-1926-SM-5J1MM",1.5808,"Nerve - Tibial"
"GTEX-1211K-2326-SM-5FQU7",1.3094,"Nerve - Tibial"
"GTEX-YBZK-0426-SM-59HLM",2.0543,"Nerve - Tibial"
"GTEX-ZF2S-2526-SM-5CVNT",2.2616,"Nerve - Tibial"
"GTEX-14DAR-2226-SM-5S2VT",1.2021,"Nerve - Tibial"
"GTEX-Y8LW-2126-SM-4VBRX",1.394,"Nerve - Tibial"
"GTEX-ZV68-0326-SM-59HJG",5.6619,"Nerve - Tibial"
"GTEX-X3Y1-2426-SM-3P5Z7",1.3423,"Nerve - Tibial"
"GTEX-PWN1-1726-SM-2S1O9",0.4352,"Nerve - Tibial"
"GTEX-QVJO-0326-SM-2S1R1",0.1708,"Nerve - Tibial"
"GTEX-POMQ-2026-SM-2S1OD",1.1474,"Nerve - Tibial"
"GTEX-R55C-1926-SM-2TF4K",1.7782,"Nerve - Tibial"
"GTEX-PWOO-2526-SM-2S1PG",0.8989,"Nerve - Tibial"
"GTEX-QLQ7-1826-SM-2S1R5",1.4216,"Nerve - Tibial"
"GTEX-PSDG-0626-SM-2S1OE",0.4536,"Nerve - Tibial"
"GTEX-QXCU-0126-SM-2TC5Q",1.3363,"Nerve - Tibial"
"GTEX-RUSQ-1826-SM-2TF6E",0.1656,"Nerve - Tibial"
"GTEX-Q2AG-0626-SM-2S1PV",0.5648,"Nerve - Tibial"
"GTEX-QCQG-2026-SM-2S1PH",1.0761,"Nerve - Tibial"
"GTEX-QDVJ-2026-SM-2S1PD",0.0608,"Nerve - Tibial"
"GTEX-RU72-1126-SM-2TF6H",1.256,"Nerve - Tibial"
"GTEX-PLZ6-1726-SM-2S1O6",0.4441,"Nerve - Tibial"
"GTEX-REY6-0626-SM-2TF4G",0.7557,"Nerve - Tibial"
"GTEX-QDVN-2226-SM-2S1PM",0.5437,"Nerve - Tibial"
"GTEX-P4QT-1726-SM-2S1NQ",0.5005,"Nerve - Tibial"
"GTEX-NPJ7-1726-SM-2YUNA",1.1584,"Nerve - Tibial"
"GTEX-NFK9-0426-SM-2YUNK",1.5027,"Nerve - Tibial"
"GTEX-P4PP-1726-SM-2S1NS",0.1573,"Nerve - Tibial"
"GTEX-QEG4-1126-SM-2S1P7",2.0338,"Nerve - Tibial"
"GTEX-O5YV-1826-SM-2YUNI",0.7515,"Nerve - Tibial"
"GTEX-R55G-2126-SM-2TC67",0.6695,"Nerve - Tibial"
"GTEX-OXRK-0426-SM-2YUMT",0.8696,"Nerve - Tibial"
