"","exp","Tissue"
"GTEX-Y8LW-1626-SM-5IFHX",3.5463,"Breast - Mammary Tissue"
"GTEX-132AR-0826-SM-5EGK6",2.0533,"Breast - Mammary Tissue"
"GTEX-11NV4-2026-SM-5N9DG",0.6084,"Breast - Mammary Tissue"
"GTEX-12BJ1-1826-SM-5HL9N",0.4215,"Breast - Mammary Tissue"
"GTEX-Y9LG-1426-SM-5IFJZ",0.2206,"Breast - Mammary Tissue"
"GTEX-13N1W-0626-SM-5MR4U",0.0432,"Breast - Mammary Tissue"
"GTEX-YB5K-1626-SM-5IFIN",1.4974,"Breast - Mammary Tissue"
"GTEX-ZDYS-1126-SM-5K7UB",0.0775,"Breast - Mammary Tissue"
"GTEX-13W3W-1226-SM-5LU4H",3.7675,"Breast - Mammary Tissue"
"GTEX-13OW8-0226-SM-5K7UP",0.5284,"Breast - Mammary Tissue"
"GTEX-132NY-0826-SM-5K7Y7",0.7799,"Breast - Mammary Tissue"
"GTEX-Y3I4-1526-SM-4TT7K",1.0945,"Breast - Mammary Tissue"
"GTEX-11I78-2226-SM-5PNYA",1.7815,"Breast - Mammary Tissue"
"GTEX-11DXW-0626-SM-5N9ER",2.9225,"Breast - Mammary Tissue"
"GTEX-13CF2-2026-SM-5K7VI",3.2669,"Breast - Mammary Tissue"
"GTEX-145ME-1526-SM-5Q5F2",0.0223,"Breast - Mammary Tissue"
"GTEX-ZVT2-1826-SM-5NQ8W",1.7532,"Breast - Mammary Tissue"
"GTEX-ZWKS-2826-SM-5NQ74",0.3371,"Breast - Mammary Tissue"
"GTEX-1269C-2426-SM-5FQSN",1.7785,"Breast - Mammary Tissue"
"GTEX-Y5V5-2126-SM-4WWFO",2.3862,"Breast - Mammary Tissue"
"GTEX-WFG8-2026-SM-5CHS6",0,"Breast - Mammary Tissue"
"GTEX-T5JW-2026-SM-5CHRU",0,"Breast - Mammary Tissue"
"GTEX-TSE9-1426-SM-5CHRO",0,"Breast - Mammary Tissue"
"GTEX-R55F-1726-SM-2TF4R",1.6731,"Breast - Mammary Tissue"
"GTEX-TMMY-0726-SM-33HBE",1.9803,"Breast - Mammary Tissue"
"GTEX-UJHI-1426-SM-3DB9C",3.6797,"Breast - Mammary Tissue"
"GTEX-TML8-1226-SM-32QON",10.9124,"Breast - Mammary Tissue"
"GTEX-T6MN-0726-SM-32PML",3.8154,"Breast - Mammary Tissue"
"GTEX-TKQ1-0226-SM-33HB5",0.0819,"Breast - Mammary Tissue"
"GTEX-T2YK-2226-SM-32QPT",1.1706,"Breast - Mammary Tissue"
"GTEX-V955-2026-SM-3GAFA",0.6196,"Breast - Mammary Tissue"
"GTEX-VJWN-0726-SM-3GIJ8",0.1927,"Breast - Mammary Tissue"
"GTEX-T6MO-0326-SM-32QOK",3.9055,"Breast - Mammary Tissue"
"GTEX-T5JC-2126-SM-32PMO",2.4172,"Breast - Mammary Tissue"
"GTEX-W5X1-2326-SM-3GIL6",4.9598,"Breast - Mammary Tissue"
"GTEX-T2IS-1526-SM-32QPR",1.0982,"Breast - Mammary Tissue"
"GTEX-TKQ2-1826-SM-33HB2",1.394,"Breast - Mammary Tissue"
"GTEX-UTHO-1026-SM-3GAF7",0.3093,"Breast - Mammary Tissue"
"GTEX-WFON-1826-SM-3GILG",0.634,"Breast - Mammary Tissue"
"GTEX-WYBS-0926-SM-3NM94",1.1473,"Breast - Mammary Tissue"
"GTEX-X4EP-2926-SM-3P5YQ",1.218,"Breast - Mammary Tissue"
"GTEX-X15G-1626-SM-3NMB3",12.7466,"Breast - Mammary Tissue"
"GTEX-WYJK-1326-SM-3NB2T",4.0464,"Breast - Mammary Tissue"
"GTEX-WY7C-2726-SM-3NB3P",0.2076,"Breast - Mammary Tissue"
"GTEX-WRHU-0326-SM-3MJFY",1.677,"Breast - Mammary Tissue"
"GTEX-WYVS-1726-SM-3NMAY",7.793,"Breast - Mammary Tissue"
"GTEX-WOFL-0826-SM-3MJG1",0.1707,"Breast - Mammary Tissue"
"GTEX-UPK5-2326-SM-3P5Z8",5.2134,"Breast - Mammary Tissue"
"GTEX-X261-0626-SM-3NMD9",0.1534,"Breast - Mammary Tissue"
"GTEX-WI4N-1426-SM-3LK7H",0.4645,"Breast - Mammary Tissue"
